species,accession,taxid,order,suborder,infraorder,superfamily,family,subfamily
Trichogramma_dendrolimi,GCA_049308575.1,114056,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Trichogrammatidae,NaN
Trichopria_drosophilae,GCA_030407085.1,1507179,Hymenoptera,Apocrita,Proctotrupomorpha,Diaprioidea,Diapriidae,Diapriinae
Tromatobia_lineatoria,GCA_949699805.1,2776060,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Pimplinae
Trypoxylon_attenuatum,GCA_963989405.1,1889570,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Crabroninae
Trypoxylon_clavicerum,GCA_965263705.1,1124896,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Crabroninae
Venturia_canescens,GCA_019457755.1,32260,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Campopleginae
Vespa_crabro,GCA_910589235.2,7445,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae
Vespa_velutina,GCA_912470025.1,202808,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae
Vespula_germanica,GCA_905340365.1,30212,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae
Vespula_pensylvanica,GCA_014466175.1,30213,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae
Vespula_vulgaris,GCA_905475345.1,7454,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae
Vulgichneumon_bimaculatus,GCA_965234825.1,2998551,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ichneumoninae
Xiphydria_camelus,GCA_963678675.1,871386,Hymenoptera,NaN,NaN,Xiphydrioidea,Xiphydriidae,NaN
Xylocopa_dejeanii,GCA_049004755.1,521057,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Xylocopinae
Xylocopa_sonorina,GCA_050948175.1,1818115,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Xylocopinae
Zele_albiditarsus,GCA_958496275.1,1080930,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Zeleinae
