species,accession,taxid,order,suborder,infraorder,superfamily,family,subfamily
Lasioglossum_marginatum,GCA_028455795.1,88513,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Lasioglossum_morio,GCA_916610235.2,88514,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Lasioglossum_oenotherae,GCA_028455765.1,88542,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Lasioglossum_pauxillum,GCA_933228785.1,88516,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Lasioglossum_vierecki,GCA_028455595.1,88499,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Lasioglossum_villosulum,GCA_963971365.1,88523,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Lasioglossum_zephyrum,GCA_028455615.1,88500,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Lasius_brunneus,GCA_964261615.1,231984,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Lasius_flavus,GCA_048181785.1,67763,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Lasius_niger,GCA_041902855.1,67767,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Lasius_platythorax,GCA_963971435.1,488582,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Leptopilina_drosophilae,GCA_032873175.1,2911658,Hymenoptera,Apocrita,Proctotrupomorpha,Cynipoidea,Figitidae,Eucoilinae
Leptopilina_syphax,GCA_032872505.1,2755057,Hymenoptera,Apocrita,Proctotrupomorpha,Cynipoidea,Figitidae,Eucoilinae
Lestiphorus_bicinctus,GCA_964264825.1,2578561,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Bembicinae
Linepithema_humile,GCA_040581485.1,83485,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Dolichoderinae
Listrodromus_nycthemerus,GCA_963978505.1,172425,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ichneumoninae
Macrocentrus_cingulum,GCA_045786645.1,535359,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Macrocentrinae
Macrophya_alboannulata,GCA_949628255.1,1384894,Hymenoptera,NaN,NaN,Tenthredinoidea,Tenthredinidae,Tenthredininae
Macrophya_annulata,GCA_963924015.1,1384895,Hymenoptera,NaN,NaN,Tenthredinoidea,Tenthredinidae,Tenthredininae
Macropis_europaea,GCA_916610135.2,253715,Hymenoptera,Apocrita,Aculeata,Apoidea,Melittidae,Melittinae
Megachile_lagopoda,GCA_036983795.1,1618191,Hymenoptera,Apocrita,Aculeata,Apoidea,Megachilidae,Megachilinae
Megachile_leachella,GCA_963576845.1,1542539,Hymenoptera,Apocrita,Aculeata,Apoidea,Megachilidae,Megachilinae
Megachile_ligniseca,GCA_945859555.1,1542540,Hymenoptera,Apocrita,Aculeata,Apoidea,Megachilidae,Megachilinae
Megachile_sculpturalis,GCA_046254535.1,1004196,Hymenoptera,Apocrita,Aculeata,Apoidea,Megachilidae,Megachilinae
Megachile_willughbiella,GCA_945859595.2,481575,Hymenoptera,Apocrita,Aculeata,Apoidea,Megachilidae,Megachilinae
Messor_barbarus,GCA_048181735.1,87890,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Myrmicinae
Meteorus_pulchricornis,GCA_041937225.1,51522,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Meteorinae
Microctonus_brassicae,GCA_918226075.1,2738948,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Euphorinae
Microplitis_demolitor,GCA_026212275.2,69319,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Microgastrinae
Microplitis_deprimator,GCA_964016945.1,2964682,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Microgastrinae
Microplitis_manilae,GCA_030273425.1,1427173,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Microgastrinae
Microplitis_mediator,GCA_029852145.1,375433,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Microgastrinae
Mimumesa_dahlbomi,GCA_917499265.3,2495085,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Pemphredoninae
Monomorium_pharaonis,GCA_013373865.2,307658,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Myrmicinae
Muscidifurax_raptorellus,GCA_020010945.3,51938,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Pteromalidae,Pteromalinae
Myrmica_angulata,GCA_046605635.1,297322,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Myrmicinae
Nasonia_vitripennis,GCA_009193385.2,7425,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Pteromalidae,Pteromalinae
Neodiprion_fabricii,GCA_021155785.1,2872261,Hymenoptera,NaN,NaN,Tenthredinoidea,Diprionidae,Diprioninae
Neodiprion_lecontei,GCA_021901455.1,441921,Hymenoptera,NaN,NaN,Tenthredinoidea,Diprionidae,Diprioninae
Neodiprion_pinetum,GCA_021155775.2,441929,Hymenoptera,NaN,NaN,Tenthredinoidea,Diprionidae,Diprioninae
Neodiprion_virginianus,GCA_021901495.1,2961670,Hymenoptera,NaN,NaN,Tenthredinoidea,Diprionidae,Diprioninae
Netelia_fuscicornis,GCA_946811545.1,2803881,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Tryphoninae
Netelia_melanura,GCA_964007305.1,2922079,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Tryphoninae
Netelia_thomsonii,GCA_964017225.1,2884248,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Tryphoninae
Netelia_virgata,GCA_951802705.1,494743,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Tryphoninae
Nomada_fabriciana,GCA_907165295.1,601510,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Nomadinae
Nomada_ferruginata,GCA_963583965.1,601518,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Nomadinae
Nomada_flava,GCA_951802745.1,601523,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Nomadinae
Nomada_fucata,GCA_948146005.1,481570,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Nomadinae
Nomada_goodeniana,GCA_963969485.1,544954,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Nomadinae
Nomada_hirtipes,GCA_951802735.1,601583,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Nomadinae
Nomada_lathburiana,GCA_963667235.1,601640,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Nomadinae
Nomada_panzeri,GCA_951802685.1,601768,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Nomadinae
Nomada_ruficornis,GCA_951802695.1,601849,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Nomadinae
Nysson_spinosus,GCA_910591585.2,2495127,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Bembicinae
Ooceraea_biroi,GCA_003672135.1,2015173,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Dorylinae
Ophion_costatus,GCA_951751655.1,495356,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ophioninae
Ophion_ellenae,GCA_963210295.1,2884234,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ophioninae
Ophion_obscuratus,GCA_964007375.1,65147,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ophioninae
Ophion_slaviceki,GCA_944452715.1,2979155,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ophioninae
Ophion_ventricosus,GCA_963932345.1,65146,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ophioninae
Ophion_wuestneii,GCA_965637035.1,2979161,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ophioninae
Osmia_bicornis_bicornis,GCA_907164935.1,1437191,Hymenoptera,Apocrita,Aculeata,Apoidea,Megachilidae,Megachilinae
